,header,title,favorite,price,category,creator
0,부업/창업/재테크・신사임당,"스마트스토어로 월 100만원 만들기, 평범한 사람이 돈을 만드는 비법",18974,"월 53,520원",부업/창업/재테크,신사임당
1,미술・둡 ,"연필 하나만으로 모든 분위기를 담아내요, 둡의 연필 드로잉",18190,"월 39,900원",미술,둡 
2,미술・Findenart 핀든아트,"여행 드로잉, 꿈만 꾸지 마세요. 핀든아트와 여행, 그리다",16646,"월 59,900원",미술,Findenart 핀든아트
3,디지털 드로잉・반지수,"일상에 따뜻한 숨결을 불어넣어요, 반지수와 함께하는 아이패드 드로잉",15509,"월 44,900원",디지털 드로잉,반지수
4,미술・집시 zipcy,일러스트레이터 집시의 매력적인 얼굴 그리기 ,13560,"월 49,900원",미술,집시 zipcy
5,사진/영상・슛뚜,일상 유튜버 슛뚜의 감성을 그대로. 영화같은 브이로그 제작법,13250,"월 46,900원",사진/영상,슛뚜
6,사진/영상・존코바,당신도 할 수 있다! 베테랑 실무자가 알려주는 모션그래픽의 모든 것,10812,"월 40,440원",사진/영상,존코바
7,미술・리니,어색한 그림은 이제 안녕! 드로잉 기초부터 시작하는 리니의 펜드로잉,10283,"월 58,800원",미술,리니
8,라이프 스타일・유잰,색다른컬러연구소 유잰의 색 감각 키우기,9819,"월 58,763원",라이프 스타일,유잰
9,사진/영상・MAZECT(마젝),사진 입문자를 위한 쉽게 배우고 빨리 써먹는 사진과 라이트룸,9577,"월 46,900원",사진/영상,MAZECT(마젝)
10,부업/창업/재테크・리뷰요정리남,블로그로 하루 2시간 투자해서 직장인만큼 수익내기!,9226,"월 45,632원",부업/창업/재테크,리뷰요정리남
11,미술・펜크래프트,"사각사각 손글씨의 낭만, 펜크래프트의 한글 정자체 펜글씨",9162,"월 41,898원",미술,펜크래프트
12,부업/창업/재테크・노마드 그레이쓰,"나만의 취미로 돈 버는 방법, 디지털 파일 판매의 모든 것!",8807,"월 39,750원",부업/창업/재테크,노마드 그레이쓰
13,미술・배성규,"마카와 색연필로 그려내는 일상의 기록, 뜻밖의 풍경, 찰나의 순간",8488,"월 49,900원",미술,배성규
14,미술・리니,"마카와 펜, 드로잉북만 들고 떠나요! 마카로 담는 여행의 특별한 기억",8362,"월 56,810원",미술,리니
15,공예・멘티자수,귀여운 동물들로 나만의 소품 완성! 멘티자수와 함께하는 프랑스자수,8055,"월 50,820원",공예,멘티자수
16,사진/영상・안대훈,한 편의 뮤직비디오 같은 안대훈의 여행 영상 제작법,7796,"월 42,980원",사진/영상,안대훈
17,디지털 드로잉・그리지영,나만의 문방구를 차려요! 그리지영의 타블렛으로 굿즈 만들기,7770,"월 30,400원",디지털 드로잉,그리지영
18,디지털 드로잉・사심굿즈,취미를 넘어 굿즈 셀러로! 인쇄물 굿즈 제작과 상품화,7669,"월 39,900원",디지털 드로잉,사심굿즈
19,사진/영상・에디터 기은,에디터 기은과 함께 브이로그로 시작하는 영상편집,7534,"월 34,900원",사진/영상,에디터 기은
20,미술・이현미,"시크하게 그리는 각도의 마법, 이현미의 색연필 인물화",7498,"월 46,533원",미술,이현미
21,디지털 드로잉・그림바지,"새로운 드로잉 기법의 설렘, 레트로 픽셀아트 드로잉",7277,"월 31,960원",디지털 드로잉,그림바지
22,미술・성립,"선과 여백의 작가 성립, 묵직한 질감과 선명한 색감의 오일파스텔",7270,"월 41,900원",미술,성립
23,요리/음료・아이라이크케이크,특별한 날을 더 특별하게! 커스텀 디자인 케이크 마스터 클래스,7215,"월 56,900원",요리/음료,아이라이크케이크
24,사진/영상・류채우(류필),"일상을 동화처럼 표현하는 사진, 오직 아이폰으로만",7217,"월 37,900원",사진/영상,류채우(류필)
25,디지털 드로잉・그림비,일러스트레이터 배성태(그림비)의 달달한 일상드로잉,7201,"월 42,720원",디지털 드로잉,그림비
26,디자인/개발・크리에이터 좐느,크리에이터 좐느의 포토샵의 모든 것,7005,"월 38,900원",디자인/개발,크리에이터 좐느
27,공예・시은맘,코바늘로 인형을 만들자! 시은맘의 꼼지락 작업실,6965,"월 59,900원",공예,시은맘
28,디지털 드로잉・별라랜드,"차근차근, 아이패드로 그리는 미니멀한 손그림 일러스트",6952,"월 42,500원",디지털 드로잉,별라랜드
29,공예・올라라탄,자연을 엮는 올라라탄의 라탄공예 입문,6829,"월 51,574원",공예,올라라탄
