,header,title,favorite,price,category,creator
44,디지털 드로잉・키츠 (kits.),아이패드 하나로 떠나는 키츠의 아날로그 텍스처 여행,5890,"월 40,880원",디지털 드로잉,키츠 (kits.)
45,디자인/개발・로지킴 Rozy Kim,작품에 다채로움을 더해 독창적인 나만의 아트워크 만들어봐요. 디지털 아트워크 클래스,5825,"월 48,100원",디자인/개발,로지킴 Rozy Kim
46,미술・소보루,눈으로 맛보는 디저트! 소보루의 색연필 클래스,5800,"월 45,284원",미술,소보루
47,디지털 드로잉・화유,민두 작가의 이모티콘 제작부터 판매까지!,5765,"월 31,880원",디지털 드로잉,화유
48,음악・그루비룸,지금 가장 새로운 음악,5722,"월 25,233원",음악,그루비룸
49,공예・쪼만한마을,"쪼만한마을의 레진 공예, 기초부터 민간자격증 발급까지!",5708,"월 54,900원",공예,쪼만한마을
50,디지털 드로잉・221,감정이 가득한 공간을 그림으로 기록합니다. 공간 디지털 일러스트,5653,"월 47,900원",디지털 드로잉,221
51,디지털 드로잉・인디고,"현실과 환상사이, 그 어딘가를 그려내는 아이패드 드로잉",5512,"월 47,880원",디지털 드로잉,인디고
52,미술・헬로양갱,"헬로양갱의 차근차근 펜드로잉, 우리의 일상을 알록달록 기록해봐요!",5470,"월 49,561원",미술,헬로양갱
53,디지털 드로잉・주안,애니메이션의 한 장면 같은 일러스트 그려보기,5428,"월 44,480원",디지털 드로잉,주안
54,공예・woven on looms,테이블용 수직기 디어위버와 함께 시작하는 당신의 위빙 생활,5419,"월 59,900원",공예,woven on looms
55,디지털 드로잉・람다람,"람다람의 레트로 애니메이션, 그리고 편집하며 이야기 담아내기",5400,"월 63,700원",디지털 드로잉,람다람
56,디지털 드로잉・윤지,"사랑을 담아 그리는 순정 일러스트, 이야기를 말하는 캐릭터 드로잉",5376,"월 52,860원",디지털 드로잉,윤지
57,사진/영상・이모씨,"순간을 더 아름답게, 진한 감성을 담는 사진&라이트룸 보정법",5329,"월 41,900원",사진/영상,이모씨
58,공예・아포코팡파레,아포코팡파레의 비즈와 자수로 만드는 여름 메시백,5228,"월 42,900원",공예,아포코팡파레
59,미술・libere_nuage,색의 규칙을 만들다 - 색연필 인물화로 나만의 색감을 찾아 떠나는 여정,5183,"월 44,900원",미술,libere_nuage
60,디지털 드로잉・유나나,애니메이션 속 주인공 같은 캐릭터를 타블렛으로 탄생시켜요!,5147,"월 44,900원",디지털 드로잉,유나나
61,요리/음료・솜솜,어서오세요! 여기는 솜솜네 홈카페입니다.,5138,"월 39,500원",요리/음료,솜솜
62,공예・소소한날,"가위질 소리가 기막히게 좋은 날, 소소한날과 함께하는 재봉 입문",5121,"월 52,900원",공예,소소한날
63,미술・bynaeng,"색연필의 따뜻한 결, 바이냉과 함께하는 매일 손그림 하나",5113,"월 49,900원",미술,bynaeng
